12-Month U.S. Tornadoes (*denotes preliminary data)
Date,"Tornadoes","Fatalities"
195012,201,70
195101,196,69
195102,186,25
195103,171,24
195104,182,14
195105,178,19
195106,226,22
195107,226,27
195108,240,27
195109,246,35
195110,246,35
195111,254,36
195112,260,34
195201,270,34
195202,287,43
195203,324,252
195204,335,254
195205,312,249
195206,270,243
195207,274,240
195208,263,241
195209,255,233
195210,253,233
195211,247,232
195212,240,231
195301,242,231
195302,231,224
195303,228,39
195304,238,71
195305,298,232
195306,375,473
195307,380,471
195308,388,470
195309,392,470
195310,398,470
195311,404,470
195312,422,519
195401,410,519
195402,411,518
195403,433,504
195404,499,470
195405,506,316
195406,502,77
195407,515,77
195408,540,78
195409,556,81
195410,564,83
195411,554,83
195412,550,36
195501,551,36
195502,538,34
195503,517,29
195504,503,34
195505,550,131
195506,596,128
195507,600,133
195508,584,132
195509,578,131
195510,587,130
195511,605,131
195512,591,129
195601,590,129
195602,633,137
195603,623,133
195604,609,193
195605,540,91
195606,452,89
195607,495,85
195608,504,87
195609,505,85
195610,511,84
195611,498,83
195612,504,83
195701,518,96
195702,476,88
195703,483,88
195704,614,51
195705,763,134
195706,845,148
195707,808,147
195708,786,145
195709,787,147
195710,776,149
195711,828,174
195712,857,193
195801,852,180
195802,867,193
195803,844,192
195804,704,166
195805,544,79
195806,525,108
195807,591,109
195808,617,110
195809,624,109
195810,615,111
195811,601,86
195812,564,67
195901,569,70
195902,569,78
195903,597,87
195904,551,84
195905,709,92
195906,654,51
195907,595,50
195908,587,49
195909,621,62
195910,636,58
195911,601,58
195912,602,58
196001,595,55
196002,603,34
196003,588,25
196004,628,31
196005,603,57
196006,655,58
196007,635,58
196008,645,59
196009,608,45
196010,602,46
196011,617,46
196012,616,46
196101,608,46
196102,611,46
196103,707,53
196104,712,50
196105,648,39
196106,630,38
196107,665,38
196108,644,37
196109,676,52
196110,672,51
196111,683,52
196112,698,52
196201,709,53
196202,703,53
196203,616,63
196204,582,61
196205,645,42
196206,708,40
196207,709,40
196208,733,46
196209,704,31
196210,701,31
196211,670,30
196212,656,30
196301,659,30
196302,639,30
196303,649,21
196304,693,35
196305,564,32
196306,484,32
196307,468,32
196308,443,28
196309,452,31
196310,454,31
196311,464,31
196312,462,31
196401,461,40
196402,458,40
196403,447,38
196404,520,37
196405,584,52
196406,631,52
196407,632,52
196408,685,52
196409,677,49
196410,686,71
196411,688,71
196412,706,73
196501,713,63
196502,744,63
196503,742,59
196504,710,312
196505,849,313
196506,859,320
196507,881,320
196508,863,319
196509,900,319
196510,894,298
196511,911,303
196512,900,301
196601,880,301
196602,875,301
196603,853,357
196604,807,101
196605,631,84
196606,610,96
196607,625,99
196608,622,98
196609,582,98
196610,595,103
196611,581,98
196612,585,98
196701,624,105
196702,604,105
196703,634,50
196704,703,111
196705,721,114
196706,805,101
196707,795,99
196708,765,101
196709,882,106
196710,889,104
196711,877,104
196712,927,114
196801,892,107
196802,891,107
196803,877,104
196804,831,71
196805,860,140
196806,786,145
196807,752,146
196808,790,146
196809,676,141
196810,654,137
196811,690,140
196812,661,131
196901,659,163
196902,657,163
196903,637,164
196904,603,126
196905,602,58
196906,603,54
196907,645,52
196908,649,69
196909,644,69
196910,655,69
196911,616,66
196912,607,66
197001,613,34
197002,624,34
197003,641,35
197004,689,63
197005,633,85
197006,630,84
197007,613,87
197008,598,68
197009,633,68
197010,658,74
197011,663,74
197012,654,73
197101,662,74
197102,731,208
197103,746,208
197104,704,189
197105,784,170
197106,848,165
197107,867,163
197108,862,163
197109,854,163
197110,842,157
197111,848,157
197112,888,159
197201,904,163
197202,826,29
197203,855,27
197204,876,32
197205,848,25
197206,763,33
197207,778,32
197208,787,34
197209,789,34
197210,785,34
197211,786,36
197212,740,34
197301,740,30
197302,743,30
197303,755,47
197304,809,41
197305,919,76
197306,1030,70
197307,995,71
197308,987,73
197309,1008,76
197310,999,76
197311,1063,86
197312,1104,89
197401,1094,90
197402,1107,90
197403,1064,74
197404,1187,381
197405,1081,356
197406,1051,384
197407,1030,383
197408,1085,379
197409,1040,376
197410,1060,381
197411,992,369
197412,951,366
197501,980,376
197502,1002,383
197503,1048,394
197504,883,90
197505,927,85
197506,929,60
197507,949,62
197508,903,64
197509,912,64
197510,879,59
197511,904,59
197512,918,60
197601,878,48
197602,870,46
197603,968,55
197604,973,43
197605,940,46
197606,913,43
197607,918,43
197608,896,42
197609,897,45
197610,896,45
197611,858,45
197612,837,44
197701,830,44
197702,810,41
197703,692,20
197704,667,45
197705,740,41
197706,703,38
197707,719,37
197708,763,42
