Source,Date,Mean
GCAG,12/6/2016,0.7895
,,
GCAG,11/6/2016,0.7504
,,
GCAG,10/6/2016,0.7292
,,
GCAG,10/6/2016,0.8767
,,
GCAG,8/6/2016,0.8998
,,
GCAG,7/6/2016,0.8687
,,
GCAG,6/6/2016,0.9006
,,
GCAG,5/6/2016,0.8738
,,
GCAG,4/6/2016,1.0733
,,
GCAG,3/6/2016,1.2245
,,
GCAG,2/6/2016,1.1921
,,
GCAG,1/6/2016,1.0569
,,
GCAG,12/6/2015,1.1219
,,
GCAG,11/6/2015,0.9655
,,
GCAG,10/6/2015,0.9913
,,
GCAG,9/6/2015,0.926
,,
GCAG,8/6/2015,0.8746
,,
GCAG,7/6/2015,0.8072
,,
GCAG,6/6/2015,0.8835
,,
GCAG,5/6/2015,0.8584
,,
GCAG,4/6/2015,0.7741
,,
GCAG,3/6/2015,0.8969
,,
GCAG,2/6/2015,0.8843
,,
GCAG,1/6/2015,0.8141
,,
GCAG,12/6/2014,0.8308
,,
GCAG,11/6/2014,0.6895
,,
GCAG,10/6/2014,0.7851
,,
GCAG,9/6/2014,0.7872
,,
GCAG,8/6/2014,0.7986
,,
GCAG,7/6/2014,0.6988
,,
GCAG,6/6/2014,0.7623
,,
GCAG,5/6/2014,0.7938
,,
GCAG,4/6/2014,0.8006
,,
GCAG,3/6/2014,0.7695
,,
GCAG,2/6/2014,0.48
,,
GCAG,1/6/2014,0.6936
,,
GCAG,12/6/2013,0.6981
,,
GCAG,11/6/2013,0.8293
,,
GCAG,10/6/2013,0.6787
,,
GCAG,9/6/2013,0.6857
,,
GCAG,8/6/2013,0.6605
,,
GCAG,7/6/2013,0.6662
,,
GCAG,6/6/2013,0.6838
,,
GCAG,5/6/2013,0.7141
,,
GCAG,4/6/2013,0.561
,,
GCAG,3/6/2013,0.6139
,,
GCAG,2/6/2013,0.6357
,,
GCAG,1/6/2013,0.5873
,,
GCAG,12/6/2012,0.4655
,,
GCAG,11/6/2012,0.7087
,,
GCAG,10/6/2012,0.7022
,,
GCAG,9/6/2012,0.7266
,,
GCAG,8/6/2012,0.6694
,,
GCAG,7/6/2012,0.6884
,,
GCAG,6/6/2012,0.7039
,,
GCAG,5/6/2012,0.7221
,,
GCAG,4/6/2012,0.7335
,,
GCAG,3/6/2012,0.5218
,,
GCAG,2/6/2012,0.4235
,,
GCAG,1/6/2012,0.4228
,,
GCAG,12/6/2011,0.5485
,,
GCAG,11/6/2011,0.4857
,,
GCAG,10/6/2011,0.6349
,,
GCAG,9/6/2011,0.5998
,,
GCAG,8/6/2011,0.616
,,
GCAG,7/6/2011,0.6282
,,
GCAG,6/6/2011,0.6465
,,
GCAG,5/6/2011,0.5741
,,
GCAG,4/6/2011,0.6522
,,
GCAG,3/6/2011,0.5915
,,
