Tornadoes,Fatalities,Year,Month,Temp
201,70,1950,12,-0.181
196,69,1951,1,-0.2903
186,25,1951,2,-0.4101
171,24,1951,3,-0.1689
182,14,1951,4,-0.0877
178,19,1951,5,0.0569
226,22,1951,6,0.0381
226,27,1951,7,0.1101
240,27,1951,8,0.113
246,35,1951,9,0.1322
246,35,1951,10,0.1081
254,36,1951,11,0.026
260,34,1951,12,0.2148
270,34,1952,1,0.152
287,43,1952,2,0.0921
324,252,1952,3,-0.048
335,254,1952,4,0.0666
312,249,1952,5,0.034
270,243,1952,6,0.0396
274,240,1952,7,0.0735
263,241,1952,8,0.0647
255,233,1952,9,0.0653
253,233,1952,10,-0.0366
247,232,1952,11,-0.1975
240,231,1952,12,-0.008
242,231,1953,1,0.1037
231,224,1953,2,0.1534
228,39,1953,3,0.1539
238,71,1953,4,0.1873
298,232,1953,5,0.144
375,473,1953,6,0.124
380,471,1953,7,0.0662
388,470,1953,8,0.0812
392,470,1953,9,0.0632
398,470,1953,10,0.0723
404,470,1953,11,-0.0621
422,519,1953,12,0.0555
410,519,1954,1,-0.2352
411,518,1954,2,-0.0865
433,504,1954,3,-0.091
499,470,1954,4,-0.1766
506,316,1954,5,-0.202
502,77,1954,6,-0.1161
515,77,1954,7,-0.1229
540,78,1954,8,-0.0913
556,81,1954,9,-0.0595
564,83,1954,10,-0.0694
554,83,1954,11,0.039
550,36,1954,12,-0.1859
551,36,1955,1,0.0879
538,34,1955,2,-0.1303
517,29,1955,3,-0.3091
503,34,1955,4,-0.2383
550,131,1955,5,-0.1274
596,128,1955,6,-0.0695
600,133,1955,7,-0.0881
584,132,1955,8,-0.0262
578,131,1955,9,-0.0923
587,130,1955,10,-0.1232
605,131,1955,11,-0.2373
591,129,1955,12,-0.2706
590,129,1956,1,-0.1773
633,137,1956,2,-0.2732
623,133,1956,3,-0.2003
609,193,1956,4,-0.2846
540,91,1956,5,-0.2275
452,89,1956,6,-0.1437
495,85,1956,7,-0.1346
504,87,1956,8,-0.1866
505,85,1956,9,-0.252
511,84,1956,10,-0.1989
498,83,1956,11,-0.1564
504,83,1956,12,-0.153
518,96,1957,1,-0.1178
476,88,1957,2,-0.1118
483,88,1957,3,-0.068
614,51,1957,4,-0.0193
763,134,1957,5,0.1092
845,148,1957,6,0.1577
808,147,1957,7,0.0596
786,145,1957,8,0.1302
787,147,1957,9,0.0748
776,149,1957,10,0.0143
828,174,1957,11,0.1282
857,193,1957,12,0.229
852,180,1958,1,0.2964
867,193,1958,2,0.2103
844,192,1958,3,0.1181
704,166,1958,4,0.114
544,79,1958,5,0.1007
525,108,1958,6,0.0624
591,109,1958,7,0.0649
617,110,1958,8,0.0528
624,109,1958,9,0.0186
615,111,1958,10,0.0405
601,86,1958,11,0.0896
564,67,1958,12,0.1452
569,70,1959,1,0.125
569,78,1959,2,0.0682
597,87,1959,3,0.2041
551,84,1959,4,0.118
709,92,1959,5,0.0263
654,51,1959,6,0.0849
595,50,1959,7,0.0671
587,49,1959,8,0.0516
621,62,1959,9,0.097
636,58,1959,10,-0.0137
601,58,1959,11,-0.079
602,58,1959,12,-0.0343
595,55,1960,1,0.0032
603,34,1960,2,0.1858
588,25,1960,3,-0.2041
628,31,1960,4,-0.0954
603,57,1960,5,-0.0841
655,58,1960,6,0.0772
635,58,1960,7,0.0339
645,59,1960,8,0.0461
608,45,1960,9,0.0638
602,46,1960,10,0.039
617,46,1960,11,-0.0484
616,46,1960,12,0.2278
608,46,1961,1,0.1188
611,46,1961,2,0.1768
707,53,1961,3,0.1646
712,50,1961,4,0.1335
648,39,1961,5,0.1614
630,38,1961,6,0.1479
665,38,1961,7,0.035
644,37,1961,8,0.032
676,52,1961,9,-0.0041
672,51,1961,10,-0.035
683,52,1961,11,0.016
698,52,1961,12,-0.0171
709,53,1962,1,0.1345
703,53,1962,2,0.1698
616,63,1962,3,0.1197
582,61,1962,4,0.0763
645,42,1962,5,0.0589
708,40,1962,6,0.0574
709,40,1962,7,0.0905
733,46,1962,8,0.0552
704,31,1962,9,0.0606
701,31,1962,10,0.0796
670,30,1962,11,0.0745
656,30,1962,12,0.0881
659,30,1963,1,0.0376
639,30,1963,2,0.2566
649,21,1963,3,-0.0216
693,35,1963,4,-0.0041
564,32,1963,5,0.013
484,32,1963,6,0.0499
468,32,1963,7,0.1382
443,28,1963,8,0.1579
452,31,1963,9,0.1629
454,31,1963,10,0.2148
464,31,1963,11,0.1947
462,31,1963,12,0.0812
461,40,1964,1,0.0488
458,40,1964,2,-0.1048
447,38,1964,3,-0.1421
520,37,1964,4,-0.1847
584,52,1964,5,-0.098
631,52,1964,6,-0.0931
632,52,1964,7,-0.1111
685,52,1964,8,-0.1669
677,49,1964,9,-0.2093
686,71,1964,10,-0.2665
688,71,1964,11,-0.2017
706,73,1964,12,-0.2651
713,63,1965,1,-0.0699
744,63,1965,2,-0.1966
742,59,1965,3,-0.1005
710,312,1965,4,-0.1875
849,313,1965,5,-0.0787
859,320,1965,6,-0.0434
881,320,1965,7,-0.0841
863,319,1965,8,-0.0464
900,319,1965,9,-0.0503
894,298,1965,10,0.0238
911,303,1965,11,-0.09
900,301,1965,12,-0.0124
880,301,1966,1,-0.0458
875,301,1966,2,-0.0373
853,357,1966,3,-0.0025
807,101,1966,4,-0.0908
631,84,1966,5,-0.0359
610,96,1966,6,0.0577
625,99,1966,7,0.0667
622,98,1966,8,0.0191
582,98,1966,9,0.0261
595,103,1966,10,-0.0592
581,98,1966,11,-0.0465
585,98,1966,12,-0.1244
624,105,1967,1,-0.1068
604,105,1967,2,-0.1656
634,50,1967,3,0.0029
703,111,1967,4,0.0056
721,114,1967,5,0.1243
805,101,1967,6,-0.0299
795,99,1967,7,-0.0177
765,101,1967,8,-0.0055
882,106,1967,9,-0.0317
889,104,1967,10,0.1288
877,104,1967,11,-0.0212
927,114,1967,12,-0.04
892,107,1968,1,-0.1865
891,107,1968,2,-0.1266
877,104,1968,3,0.1508
831,71,1968,4,-0.0703
860,140,1968,5,-0.0803
786,145,1968,6,-0.0161
752,146,1968,7,-0.0197
790,146,1968,8,-0.0143
676,141,1968,9,-0.0112
654,137,1968,10,0.0471
690,140,1968,11,0.0156
661,131,1968,12,-0.0431
659,163,1969,1,-0.1295
657,163,1969,2,-0.1038
637,164,1969,3,0.1222
603,126,1969,4,0.1935
602,58,1969,5,0.1756
603,54,1969,6,0.0766
645,52,1969,7,0.0933
649,69,1969,8,0.0954
644,69,1969,9,0.0843
655,69,1969,10,0.0713
616,66,1969,11,0.1896
607,66,1969,12,0.2468
613,34,1970,1,0.1214
624,34,1970,2,0.2353
641,35,1970,3,0.0317
689,63,1970,4,0.131
633,85,1970,5,0.0414
630,84,1970,6,0.0295
613,87,1970,7,-0.0218
598,68,1970,8,-0.0198
633,68,1970,9,0.0077
658,74,1970,10,-0.0367
663,74,1970,11,0.0226
654,73,1970,12,-0.0954
662,74,1971,1,-0.0045
731,208,1971,2,-0.2144
746,208,1971,3,-0.1412
704,189,1971,4,-0.1299
784,170,1971,5,-0.0899
848,165,1971,6,-0.1243
867,163,1971,7,-0.063
862,163,1971,8,-0.0688
854,163,1971,9,-0.0443
842,157,1971,10,-0.0763
848,157,1971,11,0.0363
888,159,1971,12,-0.0198
904,163,1972,1,-0.2415
826,29,1972,2,-0.1624
855,27,1972,3,0.0014
876,32,1972,4,0.0357
848,25,1972,5,0.0147
763,33,1972,6,0.0765
778,32,1972,7,0.0639
787,34,1972,8,0.0863
789,34,1972,9,0.0207
785,34,1972,10,0.0891
786,36,1972,11,0.0799
740,34,1972,12,0.2529
740,30,1973,1,0.259
743,30,1973,2,0.3722
755,47,1973,3,0.3305
809,41,1973,4,0.2502
919,76,1973,5,0.2152
1030,70,1973,6,0.1972
995,71,1973,7,0.1163
987,73,1973,8,0.0774
1008,76,1973,9,0.0563
999,76,1973,10,0.0446
1063,86,1973,11,0.022
1104,89,1973,12,0.0277
1094,90,1974,1,-0.1953
1107,90,1974,2,-0.2548
1064,74,1974,3,-0.0509
1187,381,1974,4,-0.042
1081,356,1974,5,-0.0246
1051,384,1974,6,-0.0375
1030,383,1974,7,0.0195
1085,379,1974,8,0.0131
1040,376,1974,9,-0.0428
1060,381,1974,10,-0.0831
992,369,1974,11,-0.0671
951,366,1974,12,-0.0976
980,376,1975,1,0.1201
1002,383,1975,2,0.0326
1048,394,1975,3,0.1096
883,90,1975,4,0.0779
927,85,1975,5,0.0693
929,60,1975,6,0.0342
949,62,1975,7,0.0055
903,64,1975,8,-0.0671
912,64,1975,9,0.017
879,59,1975,10,-0.1236
904,59,1975,11,-0.145
918,60,1975,12,-0.0895
878,48,1976,1,-0.0181
870,46,1976,2,-0.1221
968,55,1976,3,-0.2394
973,43,1976,4,-0.0223
